primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,duration
abethr1,[],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/363503,abethr1/XC363503.ogg,29.25715625
abethr1,[],['song'],-4.0904,37.8807,Turdus tephronotus,African Bare-eyed Thrush,Peter Ericsson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467121,abethr1/XC467121.ogg,42.631
abethr1,[],['song'],-4.0904,37.8807,Turdus tephronotus,African Bare-eyed Thrush,Peter Ericsson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467122,abethr1/XC467122.ogg,20.688
abethr1,[],"['adult', 'call', 'sex uncertain', 'song']",-2.9858,37.5975,Turdus tephronotus,African Bare-eyed Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/639039,abethr1/XC639039.ogg,34.0114375
abhori1,[],['song'],5.258,39.697,Oriolus larvatus,African Black-headed Oriole,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/128202,abhori1/XC128202.ogg,32.33959375
abhori1,[],['call'],-16.791,26.904,Oriolus larvatus,African Black-headed Oriole,Gabriel A. Jamie,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200588,abhori1/XC200588.ogg,53.6555
abhori1,[],['call'],-33.359,26.6199,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200793,abhori1/XC200793.ogg,21.48
abhori1,[],['Display call'],-33.359,26.6199,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200798,abhori1/XC200798.ogg,62.112
abhori1,[],['call'],-6.7849,33.7788,Oriolus larvatus,African Black-headed Oriole,Thibaut Chansac,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/201222,abhori1/XC201222.ogg,38.68734375
abhori1,[],['alarm call'],-32.5702,27.3153,Oriolus larvatus,African Black-headed Oriole,Daniel Danckwerts,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/247353,abhori1/XC247353.ogg,26.906125
abhori1,[],['call'],-33.0632,26.5668,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/268630,abhori1/XC268630.ogg,32.688
abhori1,[],"['male', 'song']",-30.7149,30.2708,Oriolus larvatus,African Black-headed Oriole,Gerard Gorman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/356234,abhori1/XC356234.ogg,60.029375
abhori1,[],['song'],5.3327,39.5744,Oriolus larvatus,African Black-headed Oriole,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/410289,abhori1/XC410289.ogg,30.72
abhori1,[],['song'],5.3327,39.5744,Oriolus larvatus,African Black-headed Oriole,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/410449,abhori1/XC410449.ogg,36.28409375
abhori1,[],"['call', 'female', 'male']",-33.2946,26.511,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/431061,abhori1/XC431061.ogg,97.48896875
abhori1,[],"['adult', 'sex uncertain', 'song']",3.9746,38.3976,Oriolus larvatus,African Black-headed Oriole,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/531229,abhori1/XC531229.ogg,23.092
abhori1,[],['song'],-18.9799,34.3576,Oriolus larvatus,African Black-headed Oriole,Paweł Szymański,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/540578,abhori1/XC540578.ogg,35.976
abhori1,[],['call'],-8.5698,13.8539,Oriolus larvatus,African Black-headed Oriole,Arnon Dattner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/568398,abhori1/XC568398.ogg,17.65878125
abhori1,[],['song'],-12.561,30.2654,Oriolus larvatus,African Black-headed Oriole,Dries Van de Loock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/585198,abhori1/XC585198.ogg,30.048
abhori1,[],"['adult', 'sex uncertain', 'whistle']",-2.9858,37.5975,Oriolus larvatus,African Black-headed Oriole,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/601811,abhori1/XC601811.ogg,7.896
abhori1,[],"['adult', 'call', 'sex uncertain']",-2.9858,37.5975,Oriolus larvatus,African Black-headed Oriole,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/607403,abhori1/XC607403.ogg,16.992
abhori1,[],"['adult', 'sex uncertain', 'song']",-33.6848,26.1452,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/640719,abhori1/XC640719.ogg,36.44
abhori1,[],"['adult', 'sex uncertain', 'song']",-33.4522,26.6049,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/683139,abhori1/XC683139.ogg,32.0
abhori1,[],[''],-33.5774,26.8679,Oriolus larvatus,African Black-headed Oriole,Tim Cockcroft,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/728785,abhori1/XC728785.ogg,24.8685625
abhori1,[],[''],0.2841,36.9102,Oriolus larvatus,African Black-headed Oriole,Alexander Schlatmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748240,abhori1/XC748240.ogg,9.864
abhori1,[],[''],0.2841,36.9102,Oriolus larvatus,African Black-headed Oriole,Alexander Schlatmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748241,abhori1/XC748241.ogg,72.36
abhori1,[],[''],-0.7257,36.436,Oriolus larvatus,African Black-headed Oriole,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/750200,abhori1/XC750200.ogg,30.51103125
abythr1,[],['song'],-1.2422,36.8033,Turdus abyssinicus,Abyssinian Thrush,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/122413,abythr1/XC122413.ogg,26.958375
abythr1,[],['song'],-1.3589,29.6187,Turdus abyssinicus,Abyssinian Thrush,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/227239,abythr1/XC227239.ogg,74.9453125
abythr1,[],['call'],7.081,38.639,Turdus abyssinicus,Abyssinian Thrush,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/266325,abythr1/XC266325.ogg,64.944
abythr1,[],['song'],6.686,39.7279,Turdus abyssinicus,Abyssinian Thrush,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/268145,abythr1/XC268145.ogg,91.08
abythr1,[],"['call', 'flight call']",-0.3833,37.3112,Turdus abyssinicus,Abyssinian Thrush,Simon Gillings,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467554,abythr1/XC467554.ogg,34.089
abythr1,[],[''],-1.275,36.815,Turdus abyssinicus,Abyssinian Thrush,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748838,abythr1/XC748838.ogg,13.3485625
afbfly1,[],['call'],6.0908,10.2966,Elminia longicauda,African Blue Flycatcher,Paweł Szymański,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/296098,afbfly1/XC296098.ogg,55.104
afdfly1,[],['song'],7.529,38.799,Muscicapa adusta,African Dusky Flycatcher,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267173,afdfly1/XC267173.ogg,69.12
afdfly1,[],['song'],-0.3833,37.3112,Muscicapa adusta,African Dusky Flycatcher,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/344763,afdfly1/XC344763.ogg,35.84
afdfly1,[],"['call', 'male']",0.6559,35.5111,Muscicapa adusta,African Dusky Flycatcher,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/396575,afdfly1/XC396575.ogg,18.33796875
afdfly1,[],['call'],-11.4261,24.6602,Muscicapa adusta,African Dusky Flycatcher,Dries Van de Loock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/585211,afdfly1/XC585211.ogg,21.504
afdfly1,[],"['adult', 'sex uncertain', 'song']",-33.3884,26.95,Muscicapa adusta,African Dusky Flycatcher,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/664991,afdfly1/XC664991.ogg,16.431
afecuc1,[],['song'],0.1502,6.5823,Chrysococcyx cupreus,African Emerald Cuckoo,Philippe Verbelen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/337884,afecuc1/XC337884.ogg,43.441
afecuc1,[],['song'],5.35,-1.38,Chrysococcyx cupreus,African Emerald Cuckoo,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/399979,afecuc1/XC399979.ogg,83.0955
afecuc1,[],"['adult', 'song']",7.4498,-7.6382,Chrysococcyx cupreus,African Emerald Cuckoo,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/522379,afecuc1/XC522379.ogg,13.71428125
afecuc1,[],"['adult', 'dawn song', 'sex uncertain', 'song']",-7.8282,35.065,Chrysococcyx cupreus,African Emerald Cuckoo,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/621416,afecuc1/XC621416.ogg,54.048
afecuc1,[],"['male', 'song']",-7.8282,35.065,Chrysococcyx cupreus,African Emerald Cuckoo,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/621765,afecuc1/XC621765.ogg,90.36
afecuc1,[],"['life stage uncertain', 'sex uncertain', 'song']",-7.8282,35.065,Chrysococcyx cupreus,African Emerald Cuckoo,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/679785,afecuc1/XC679785.ogg,86.208
afecuc1,[],"['adult', 'male', 'song']",-2.9858,37.5975,Chrysococcyx cupreus,African Emerald Cuckoo,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/692106,afecuc1/XC692106.ogg,72.552
affeag1,[],['song'],7.0496,38.4645,Haliaeetus vocifer,African Fish-Eagle,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267425,affeag1/XC267425.ogg,12.456
affeag1,[],['call'],16.359,-16.2749,Haliaeetus vocifer,African Fish-Eagle,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/297600,affeag1/XC297600.ogg,18.15509375
affeag1,[],"['call', 'flight call']",-33.5989,26.7117,Haliaeetus vocifer,African Fish-Eagle,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/378779,affeag1/XC378779.ogg,54.59590625
affeag1,[],['song'],-0.769,36.4242,Haliaeetus vocifer,African Fish-Eagle,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/397637,affeag1/XC397637.ogg,7.053
affeag1,[],"['adult', 'call']",-23.8072,31.5947,Haliaeetus vocifer,African Fish-Eagle,Scott Olmstead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/505562,affeag1/XC505562.ogg,7.91509375
affeag1,[],"['call', 'sex uncertain']",7.925,38.7263,Haliaeetus vocifer,African Fish-Eagle,Aladdin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/508621,affeag1/XC508621.ogg,7.653
affeag1,[],['call'],-11.8724,32.2871,Haliaeetus vocifer,African Fish-Eagle,Dries Van de Loock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/682061,affeag1/XC682061.ogg,6.984
afgfly1,[],['call'],8.92,40.043,Bradornis microrhynchus,African Gray Flycatcher,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267773,afgfly1/XC267773.ogg,19.392
