primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
abethr1,[],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/363503,abethr1/XC363503.ogg
abethr1,[],['song'],-4.0904,37.8807,Turdus tephronotus,African Bare-eyed Thrush,Peter Ericsson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467121,abethr1/XC467121.ogg
abethr1,[],['song'],-4.0904,37.8807,Turdus tephronotus,African Bare-eyed Thrush,Peter Ericsson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467122,abethr1/XC467122.ogg
abethr1,[],"['adult', 'call', 'sex uncertain', 'song']",-2.9858,37.5975,Turdus tephronotus,African Bare-eyed Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/639039,abethr1/XC639039.ogg
abhori1,[],['song'],5.258,39.697,Oriolus larvatus,African Black-headed Oriole,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/128202,abhori1/XC128202.ogg
abhori1,[],['call'],-16.791,26.904,Oriolus larvatus,African Black-headed Oriole,Gabriel A. Jamie,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200588,abhori1/XC200588.ogg
abhori1,[],['call'],-33.359,26.6199,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200793,abhori1/XC200793.ogg
abhori1,[],['Display call'],-33.359,26.6199,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200798,abhori1/XC200798.ogg
abhori1,[],['call'],-6.7849,33.7788,Oriolus larvatus,African Black-headed Oriole,Thibaut Chansac,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/201222,abhori1/XC201222.ogg
abhori1,[],['alarm call'],-32.5702,27.3153,Oriolus larvatus,African Black-headed Oriole,Daniel Danckwerts,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/247353,abhori1/XC247353.ogg
abhori1,[],['call'],-33.0632,26.5668,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/268630,abhori1/XC268630.ogg
abhori1,[],"['male', 'song']",-30.7149,30.2708,Oriolus larvatus,African Black-headed Oriole,Gerard Gorman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/356234,abhori1/XC356234.ogg
abhori1,[],['song'],5.3327,39.5744,Oriolus larvatus,African Black-headed Oriole,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/410289,abhori1/XC410289.ogg
abhori1,[],['song'],5.3327,39.5744,Oriolus larvatus,African Black-headed Oriole,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/410449,abhori1/XC410449.ogg
abhori1,[],"['call', 'female', 'male']",-33.2946,26.511,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/431061,abhori1/XC431061.ogg
abhori1,[],"['adult', 'sex uncertain', 'song']",3.9746,38.3976,Oriolus larvatus,African Black-headed Oriole,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/531229,abhori1/XC531229.ogg
abhori1,[],['song'],-18.9799,34.3576,Oriolus larvatus,African Black-headed Oriole,Paweł Szymański,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/540578,abhori1/XC540578.ogg
abhori1,[],['call'],-8.5698,13.8539,Oriolus larvatus,African Black-headed Oriole,Arnon Dattner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/568398,abhori1/XC568398.ogg
abhori1,[],['song'],-12.561,30.2654,Oriolus larvatus,African Black-headed Oriole,Dries Van de Loock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/585198,abhori1/XC585198.ogg
abhori1,[],"['adult', 'sex uncertain', 'whistle']",-2.9858,37.5975,Oriolus larvatus,African Black-headed Oriole,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/601811,abhori1/XC601811.ogg
abhori1,[],['song'],-24.3834,30.9334,Oriolus larvatus,African Black-headed Oriole,Derek Solomon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/602953,abhori1/XC602953.ogg
abhori1,[],"['adult', 'call', 'sex uncertain']",-2.9858,37.5975,Oriolus larvatus,African Black-headed Oriole,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/607403,abhori1/XC607403.ogg
abhori1,[],"['adult', 'sex uncertain', 'song']",-33.6848,26.1452,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/640719,abhori1/XC640719.ogg
abhori1,[],"['adult', 'sex uncertain', 'song']",-33.4522,26.6049,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/683139,abhori1/XC683139.ogg
abhori1,[],[''],-33.5774,26.8679,Oriolus larvatus,African Black-headed Oriole,Tim Cockcroft,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/728785,abhori1/XC728785.ogg
abhori1,[],[''],0.2841,36.9102,Oriolus larvatus,African Black-headed Oriole,Alexander Schlatmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748240,abhori1/XC748240.ogg
abhori1,[],[''],0.2841,36.9102,Oriolus larvatus,African Black-headed Oriole,Alexander Schlatmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748241,abhori1/XC748241.ogg
abhori1,[],[''],0.2841,36.9102,Oriolus larvatus,African Black-headed Oriole,Alexander Schlatmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748256,abhori1/XC748256.ogg
abhori1,[],[''],-0.7257,36.436,Oriolus larvatus,African Black-headed Oriole,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/750200,abhori1/XC750200.ogg
abythr1,[],['song'],-1.2422,36.8033,Turdus abyssinicus,Abyssinian Thrush,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/122413,abythr1/XC122413.ogg
abythr1,[],['song'],-1.3589,29.6187,Turdus abyssinicus,Abyssinian Thrush,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/227239,abythr1/XC227239.ogg
abythr1,[],['call'],7.081,38.639,Turdus abyssinicus,Abyssinian Thrush,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/266325,abythr1/XC266325.ogg
abythr1,[],['song'],6.686,39.7279,Turdus abyssinicus,Abyssinian Thrush,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/268145,abythr1/XC268145.ogg
abythr1,[],"['call', 'flight call']",-0.3833,37.3112,Turdus abyssinicus,Abyssinian Thrush,Simon Gillings,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467554,abythr1/XC467554.ogg
abythr1,[],[''],-1.275,36.815,Turdus abyssinicus,Abyssinian Thrush,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748838,abythr1/XC748838.ogg
afbfly1,[],['call'],6.0908,10.2966,Elminia longicauda,African Blue Flycatcher,Paweł Szymański,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/296098,afbfly1/XC296098.ogg
afdfly1,[],['song'],7.529,38.799,Muscicapa adusta,African Dusky Flycatcher,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267173,afdfly1/XC267173.ogg
afdfly1,[],['song'],-0.3833,37.3112,Muscicapa adusta,African Dusky Flycatcher,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/344763,afdfly1/XC344763.ogg
afdfly1,[],"['call', 'male']",0.6559,35.5111,Muscicapa adusta,African Dusky Flycatcher,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/396575,afdfly1/XC396575.ogg
afdfly1,[],['call'],-11.4261,24.6602,Muscicapa adusta,African Dusky Flycatcher,Dries Van de Loock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/585211,afdfly1/XC585211.ogg
afdfly1,[],"['adult', 'sex uncertain', 'song']",-33.3884,26.95,Muscicapa adusta,African Dusky Flycatcher,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/664991,afdfly1/XC664991.ogg
afecuc1,[],['song'],0.1502,6.5823,Chrysococcyx cupreus,African Emerald Cuckoo,Philippe Verbelen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/337884,afecuc1/XC337884.ogg
afecuc1,[],['song'],5.35,-1.38,Chrysococcyx cupreus,African Emerald Cuckoo,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/399979,afecuc1/XC399979.ogg
afecuc1,[],"['adult', 'song']",7.4498,-7.6382,Chrysococcyx cupreus,African Emerald Cuckoo,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/522379,afecuc1/XC522379.ogg
afecuc1,[],"['adult', 'dawn song', 'sex uncertain', 'song']",-7.8282,35.065,Chrysococcyx cupreus,African Emerald Cuckoo,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/621416,afecuc1/XC621416.ogg
afecuc1,[],"['male', 'song']",-7.8282,35.065,Chrysococcyx cupreus,African Emerald Cuckoo,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/621765,afecuc1/XC621765.ogg
afecuc1,[],"['life stage uncertain', 'sex uncertain', 'song']",-7.8282,35.065,Chrysococcyx cupreus,African Emerald Cuckoo,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/679785,afecuc1/XC679785.ogg
afecuc1,[],"['adult', 'male', 'song']",-2.9858,37.5975,Chrysococcyx cupreus,African Emerald Cuckoo,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/692106,afecuc1/XC692106.ogg
affeag1,[],['song'],7.0496,38.4645,Haliaeetus vocifer,African Fish-Eagle,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267425,affeag1/XC267425.ogg
affeag1,[],['call'],16.359,-16.2749,Haliaeetus vocifer,African Fish-Eagle,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/297600,affeag1/XC297600.ogg
affeag1,[],"['call', 'flight call']",-33.5989,26.7117,Haliaeetus vocifer,African Fish-Eagle,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/378779,affeag1/XC378779.ogg
affeag1,[],['song'],-0.769,36.4242,Haliaeetus vocifer,African Fish-Eagle,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/397637,affeag1/XC397637.ogg
affeag1,[],"['adult', 'call']",-23.8072,31.5947,Haliaeetus vocifer,African Fish-Eagle,Scott Olmstead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/505562,affeag1/XC505562.ogg
affeag1,[],"['call', 'sex uncertain']",7.925,38.7263,Haliaeetus vocifer,African Fish-Eagle,Aladdin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/508621,affeag1/XC508621.ogg
affeag1,[],['call'],-11.8724,32.2871,Haliaeetus vocifer,African Fish-Eagle,Dries Van de Loock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/682061,affeag1/XC682061.ogg
afgfly1,[],['call'],8.92,40.043,Bradornis microrhynchus,African Gray Flycatcher,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267773,afgfly1/XC267773.ogg
afgfly1,[],['call'],8.92,40.043,Bradornis microrhynchus,African Gray Flycatcher,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267774,afgfly1/XC267774.ogg
afgfly1,[],['call'],-1.5765,36.6316,Bradornis microrhynchus,African Gray Flycatcher,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/344741,afgfly1/XC344741.ogg
afgfly1,[],"['call', 'juvenile', 'sex uncertain']",-3.1481,36.6951,Bradornis microrhynchus,African Gray Flycatcher,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/609492,afgfly1/XC609492.ogg
afgfly1,[],"['adult', 'call', 'sex uncertain']",-3.1481,36.6951,Bradornis microrhynchus,African Gray Flycatcher,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/609493,afgfly1/XC609493.ogg
afghor1,[],['call'],13.382,-16.7708,Lophoceros nasutus,African Gray Hornbill,Matt Slaymaker,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/174843,afghor1/XC174843.ogg
afghor1,[],"['call', 'male']",-6.7849,33.7788,Lophoceros nasutus,African Gray Hornbill,Thibaut Chansac,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200734,afghor1/XC200734.ogg
afghor1,[],['song'],8.1829,34.5836,Lophoceros nasutus,African Gray Hornbill,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/215421,afghor1/XC215421.ogg
afghor1,[],['song'],8.92,40.043,Lophoceros nasutus,African Gray Hornbill,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/215422,afghor1/XC215422.ogg
afghor1,[],['call'],-25.1283,27.802,Lophoceros nasutus,African Gray Hornbill,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/283019,afghor1/XC283019.ogg
afghor1,[],['call'],14.0606,-16.7575,Lophoceros nasutus,African Gray Hornbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/292595,afghor1/XC292595.ogg
afghor1,[],['song'],9.5687,-4.2943,Lophoceros nasutus,African Gray Hornbill,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/317569,afghor1/XC317569.ogg
